#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,OPERATOR:2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,19,19,19,20,21,21,22,22,22,22,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,
#,#,#,X-axis rotation angle,Y-axis rotation angle,a0,ax,ax2,ax3,ay,axy,ax2y,ay2,axy2,ay3,Name,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr (c = 1 µm below highest peak),Smc (p = 10%),Sxp (p = 50%  q = 97.5%),Sal (s = 0.2),Str (s = 0.2),Std (Reference angle = 0°),Sdq,Sdr,Vm (p = 10%),Vv (p = 10%),Vmp (p = 10%),Vmc (p = 10%  q = 80%),Vvc (p = 10%  q = 80%),Vvv (p = 80%),Maximum depth of furrows,Mean depth of furrows,Mean density of furrows,First direction,Second direction,Third direction,Texture isotropy,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81),Name,File path,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis offset - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis offset - Y,Axis name - Z,Layer type - Z,Axis length - Z,Min - Z,Max - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,
#,#,#,°,°,µm,µm,µm,µm,µm,µm,µm,µm,µm,µm,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,nm,<no unit>,µm,points,nm,<no unit>,<no unit>,µm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,nm,<no unit>,µm,points,nm,<no unit>,<no unit>,µm,digits,nm,%,µm,<no unit>,<no unit>,µm,µm,µm,µm,%,µm,µm,µm,<no unit>,°,<no unit>,%,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,µm,µm,cm/cm2,°,°,°,%,<no unit>,<no unit>,<no unit>,nm²,<no unit>,<no unit>,<no unit>,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,nm,µm,<no unit>,µm,points,nm,µm,<no unit>,<no unit>,µm,µm,µm,digits,nm,%,
2021/04/15,14:06:02,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_natural_a_Topo.mnt,1.389601332,-3.540040607,-3.327279468,-0.007136344206,6.08357491e-06,-1.075360198e-09,0.004476105667,6.779964383e-07,-1.114150037e-09,2.420272666e-06,5.305851231e-10,-1.457157799e-09,Kremasti4_LSM_50x_natural_a_Topo,4/15/2021 10:24:41 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,40.71166716,65532,0.6212486596,0,Kremasti4_LSM_50x_natural_a_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/15/2021 10:24:41 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,12.32495216,198390,0.06212486596,0,1.584021467,-0.6095035235,4.87649139,5.465869957,6.859082201,12.32495216,1.125056973,0.4839345421,1.693314186,3.99094246,19.51575135,0.480092466,42.24936206,0.3826728109,6.003094867,0.08953456587,1.782866126,0.08953456587,1.129500923,1.496020162,0.2868459635,7.217169929,1.568997462,3750.457168,89.9771993,45.01151178,179.9901922,73.9724373,*****,*****,9.933672877,6281984.839,0.5388613394,0.8700496629,Kremasti4_LSM_50x_natural_a_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_natural_a_Topo.sur,4/15/2021 10:24:41 AM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,12.32495216,-6.849328597,5.475623561,198390,0.06212486596,11.50984444,
2021/04/15,14:08:39,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_natural_b_Topo.mnt,2.225283347,2.410864662,1.69357508,0.01832627498,-1.84050052e-05,2.938632767e-09,-0.007988492816,1.910723487e-05,-9.826918135e-10,-5.657152074e-06,-3.719026049e-09,1.9732019e-09,Kremasti4_LSM_50x_natural_b_Topo,4/15/2021 10:51:24 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,49.89208847,65532,0.7613393223,0,Kremasti4_LSM_50x_natural_b_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/15/2021 10:51:24 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,22.92141457,301067,0.07613393223,0,4.090417274,-0.3914539384,2.527443543,10.43879958,12.48261499,22.92141457,3.402967859,0.2388668578,4.564882446,9.019518556,32.42662752,*****,93.24466596,0.6584596,15.93704433,0.1528894313,4.717775194,0.1528894313,4.141594551,4.240142316,0.4776328778,10.88071899,3.134720639,3056.414574,90.01401251,134.9900075,45.0041573,82.66691335,*****,*****,25.92384852,10723090.31,0.3895934272,0.6379997482,Kremasti4_LSM_50x_natural_b_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_natural_b_Topo.sur,4/15/2021 10:51:24 AM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,22.92141457,-12.46913929,10.45227529,301067,0.07613393223,20.64558889,
2021/04/15,14:11:12,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_natural_c_Topo.mnt,0.3167862366,-6.579302642,-1.575841614,0.005948464479,-4.230325733e-06,7.473099497e-10,-0.009609074312,2.654929555e-06,-9.499717941e-11,9.918086283e-06,-9.556211008e-10,-2.412952222e-09,Kremasti4_LSM_50x_natural_c_Topo,4/15/2021 11:45:47 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,92.57280813,65531,1.412656729,0,Kremasti4_LSM_50x_natural_c_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/15/2021 11:45:47 AM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,13.35313773,94525,0.1412656729,0,1.471139635,-0.2736764103,6.226368744,5.151535295,8.201602439,13.35313773,1.084219388,0.6035167494,1.7172781,2.666713952,23.54556159,*****,33.00070267,0.5207327359,8.532378746,0.1057150617,1.823053982,0.1057150617,1.087074402,1.653055856,0.1699981254,9.43400417,1.46938424,4010.99699,45.02286722,179.9952289,33.71722776,77.84103324,*****,*****,17.48517986,4628049.349,1.926726051,2.369387503,Kremasti4_LSM_50x_natural_c_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_natural_c_Topo.sur,4/15/2021 11:45:47 AM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,13.35313773,-8.003124169,5.350013565,94525,0.1412656729,14.82642222,
2021/04/15,14:13:40,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_natural_d_Topo.mnt,0.1226444948,-3.9944626,-8.436425121,0.01418709088,-7.605359557e-06,9.069342497e-10,0.01048709119,-6.39948816e-06,3.480696282e-09,-5.011690029e-06,-1.593251394e-09,1.342348602e-09,Kremasti4_LSM_50x_natural_d_Topo,4/15/2021 12:01:50 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,31.7971185,65532,0.4852151392,0,Kremasti4_LSM_50x_natural_d_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/15/2021 12:01:50 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,16.08687125,331541,0.04852151392,0,2.240845761,-0.04897288133,3.435836057,9.022963685,7.063907561,16.08687125,1.765024161,0.2065847139,2.872713114,4.647386595,30.5660999,0.6142008323,25.25098115,0.403043316,6.729032321,0.09941241794,2.972140702,0.09941241794,1.843507699,2.679861914,0.2922787876,6.760114362,1.903888743,3479.585432,0.01225453532,26.47753385,89.99377687,90.31547851,*****,*****,11.21221353,7318908.797,0.6032576553,0.7279640213,Kremasti4_LSM_50x_natural_d_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_natural_d_Topo.sur,4/15/2021 12:01:50 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,16.08687125,-7.055125167,9.031746079,331541,0.04852151392,11.06722222,
2021/04/15,14:16:06,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_natural_e_Topo.mnt,0.8525908597,-3.800140735,-13.02926544,0.01209944216,-3.44094288e-06,1.362451694e-10,0.02001493454,-9.570464236e-06,1.752069361e-09,-7.777718618e-06,1.196874052e-09,8.67819269e-10,Kremasti4_LSM_50x_natural_e_Topo,4/15/2021 12:16:18 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,29.31425012,65531,0.447334088,0,Kremasti4_LSM_50x_natural_e_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/15/2021 12:16:18 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,16.43174412,367326,0.0447334088,0,1.767716193,-0.9285067878,5.866179871,7.914458352,8.517285769,16.43174412,1.248673303,0.1263085064,1.657583288,4.69892145,20.72937473,0.8132318237,62.00314745,0.4031913407,6.562432568,0.09447176231,1.752062646,0.09447176231,1.27608491,1.408635353,0.3434272937,8.684991318,1.535971826,3422.847726,44.9941258,63.51277515,90.01650839,92.32249325,*****,*****,10.46620391,11574298.79,0.545669013,0.8480939964,Kremasti4_LSM_50x_natural_e_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_natural_e_Topo.sur,4/15/2021 12:16:18 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,16.43174412,-8.509412689,7.922331432,367326,0.0447334088,10.72011111,
2021/04/15,14:18:42,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_type1_a_Topo.mnt,2.964172422,0.7062647796,-1.428187405,0.00323809734,-2.817472272e-06,6.310144488e-10,0.002435467466,-1.562751158e-06,1.516360767e-10,-8.174433018e-08,5.884815857e-10,-3.641595328e-10,Kremasti4_LSM_50x_type1_a_Topo,4/13/2021 3:00:34 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,24.97544871,65531,0.3811241811,0,Kremasti4_LSM_50x_type1_a_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/13/2021 3:00:34 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,11.09441057,291097,0.03811241811,0,1.434169527,-1.650282113,6.832435824,3.630703286,7.463707288,11.09441057,1.009954522,0.5506006133,1.290804631,4.246005059,18.83860902,0.690200811,148.4947608,0.3498352012,5.156391925,0.04783352276,1.338636857,0.04783352276,0.9825579917,1.015294966,0.3233418914,6.789917848,1.217139721,3631.833013,179.9833616,89.99779864,135.0071071,69.99147055,*****,*****,9.047928326,6281984.839,0.2340000138,0.8845739215,Kremasti4_LSM_50x_type1_a_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_type1_a_Topo.sur,4/13/2021 3:00:34 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,11.09441057,-7.454369746,3.640040829,291097,0.03811241811,9.391622222,
2021/04/15,14:21:15,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_type1_b_Topo.mnt,1.603906895,-0.1568250043,-0.9492366367,0.005165530031,-2.587487283e-06,-7.292882558e-11,-0.002759714194,4.290299237e-07,1.360755475e-09,2.080717517e-06,-1.193232801e-09,-3.505583208e-10,Kremasti4_LSM_50x_type1_b_Topo,4/13/2021 3:12:36 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,18.08105499,65532,0.2759118445,0,Kremasti4_LSM_50x_type1_b_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/13/2021 3:12:36 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,10.93193078,396211,0.02759118445,0,0.9279296394,-3.102264772,21.19594214,3.4068215,7.525109282,10.93193078,0.5206882014,0.190652927,0.8503611311,2.43241059,19.11283269,0.7306999462,99.0101906,0.2293242965,2.262715276,0.04150982035,0.8918592581,0.04150982035,0.4220406554,0.7280150948,0.1638441634,6.52112816,0.6617323948,4181.821947,44.98518743,0.006791178959,89.98368875,50.07855773,*****,*****,3.838338584,3409565.818,0.6329882194,0.9537654987,Kremasti4_LSM_50x_type1_b_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_type1_b_Topo.sur,4/13/2021 3:12:36 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,10.93193078,-7.518873674,3.413057107,396211,0.02759118445,5.539233333,
2021/04/15,14:23:44,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_type1_c_Topo.mnt,2.364294692,-2.830747103,-4.94997758,0.004149346392,-1.680795224e-07,-2.533546054e-10,0.004062723987,-4.381903453e-06,6.621285556e-10,1.580775946e-06,6.666093304e-10,-8.913521761e-10,Kremasti4_LSM_50x_type1_c_Topo,4/13/2021 3:26:24 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,31.58422743,65532,0.4819664809,0,Kremasti4_LSM_50x_type1_c_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/13/2021 3:26:24 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,9.121215652,189250,0.04819664809,0,1.032300845,-1.150808115,7.109877,3.607326323,5.513889329,9.121215652,0.7036578917,0.8307762419,0.9460704412,2.875992332,20.00936499,0.6656509041,42.24862793,0.2456940886,2.643718862,0.06199200552,1.008057957,0.06199200552,0.6724277265,0.8096673991,0.1983905584,5.661491563,0.8866203244,3869.857298,89.9911039,134.9995495,44.96008552,87.67700145,*****,*****,4.116572853,5391969.57,0.8755245734,1.740527996,Kremasti4_LSM_50x_type1_c_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_type1_c_Topo.sur,4/13/2021 3:26:24 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,9.121215652,-5.506370652,3.614845,189250,0.04819664809,5.578733333,
2021/04/15,14:26:10,D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\ProcessingAnalysis_v2 --- Kremasti4_LSM_50x_type1_d_Topo.mnt,1.937553919,-2.85590305,-7.513859404,0.01175999422,-4.770935663e-06,4.479105478e-10,0.004493475258,-3.180684624e-06,4.80297568e-10,1.14211174e-08,5.107620206e-10,-4.317657741e-10,Kremasti4_LSM_50x_type1_d_Topo,4/13/2021 3:48:57 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,26.67944453,65532,0.407120865,0,Kremasti4_LSM_50x_type1_d_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points,4/13/2021 3:48:57 PM,Surface,X,255.4748064,3000,85.18666436,Y,255.4748064,3000,85.18666436,Z,Topography,11.55681786,283867,0.0407120865,0,1.361995698,-1.871845763,9.830575277,3.145375091,8.411442768,11.55681786,0.8547587048,3.047115556,1.3854033,4.038983745,17.12011214,0.7364442421,100.9964993,0.3034330151,3.681205024,0.05899159632,1.444400382,0.05899159632,0.6613060182,1.156285084,0.2881152988,7.764324153,1.301308907,3791.08573,45.0056145,179.9914986,89.99225022,77.9439153,*****,*****,6.087731483,9934482.25,0.9048548079,4.589236197,Kremasti4_LSM_50x_type1_d_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm),D:\Dropbox\jmmarreiros_dropbox\Work\Papers and articles\2021 - Debreuil et al Brunishing tools\ConfocalData\surfaces\Kremasti4_LSM_50x_type1_d_Topo.sur,4/13/2021 3:48:57 PM,Surface,X,255.4748064,3000,85.18666436,0,Y,255.4748064,3000,85.18666436,-255.4748064,Z,Topography,11.55681786,-8.402730381,3.154087478,283867,0.0407120865,7.424088889,
